country,year,agricultural_land,greenhouse_gas_emissions,rural_population,cereal_yield,urban_population,GDP,fresh_water,forest_area,renewable_electricity,alternative_energy
Albania,2020,42.538503649635,,,,,,,,,
Albania,2019,42.8467153284672,,,,,,,,,
Albania,2018,42.8496715328467,,,,,,,,,
Albania,2017,42.8569708029197,,,,,,,,,
Albania,2016,43.1277372262774,,,,,,,,,
Albania,2015,42.8576642335766,,,,,,,,,
Albania,2014,42.857299270073,,,,,,,,,
Albania,2013,43.3321167883212,,,,,,,,,
Albania,2012,43.8430656934307,,,,,,,,,
Albania,2011,43.8321167883212,,,,,,,,,
Albania,2010,43.8430656934307,,,,,,,,,
Albania,2009,43.8430656934307,,,,,,,,,
Albania,2008,43.1021897810219,,,,,,,,,
Albania,2007,40.8394160583942,,,,,,,,,
Albania,2006,40.8759124087591,,,,,,,,,
Albania,2005,39.3065693430657,,,,,,,,,
Albania,2004,40.9489051094891,,,,,,,,,
Albania,2003,40.9124087591241,,,,,,,,,
Albania,2002,41.6058394160584,,,,,,,,,
Albania,2001,41.5693430656934,,,,,,,,,
Albania,2000,41.7518248175182,,,,,,,,,
Albania,1999,41.7883211678832,,,,,,,,,
Albania,1998,41.5693430656934,,,,,,,,,
Albania,1997,41.4233576642336,,,,,,,,,
Albania,1996,41.2773722627737,,,,,,,,,
Albania,1995,41.1313868613139,,,,,,,,,
Albania,1994,41.0948905109489,,,,,,,,,
Albania,1993,41.0948905109489,,,,,,,,,
Albania,1992,41.1313868613139,,,,,,,,,
Albania,1991,41.1313868613139,,,,,,,,,
Albania,1990,40.9124087591241,,,,,,,,,
Belize,2020,7.89127575624726,,,,,,,,,
Belize,2019,7.62823323103902,,,,,,,,,
Belize,2018,7.54055238930294,,,,,,,,,
Belize,2017,7.54055238930294,,,,,,,,,
Belize,2016,7.45287154756686,,,,,,,,,
Belize,2015,7.45287154756686,,,,,,,,,
Belize,2014,7.01446733888645,,,,,,,,,
Belize,2013,7.01446733888645,,,,,,,,,
Belize,2012,7.01446733888645,,,,,,,,,
Belize,2011,6.88294607628233,,,,,,,,,
Belize,2010,6.88294607628233,,,,,,,,,
Belize,2009,6.79526523454625,,,,,,,,,
Belize,2008,6.66374397194213,,,,,,,,,
Belize,2007,6.66374397194213,,,,,,,,,
Belize,2006,6.66374397194213,,,,,,,,,
Belize,2005,6.66374397194213,,,,,,,,,
Belize,2004,6.66374397194213,,,,,,,,,
Belize,2003,6.66374397194213,,,,,,,,,
Belize,2002,6.66374397194213,,,,,,,,,
Belize,2001,6.53222270933801,,,,,,,,,
Belize,2000,6.53222270933801,,,,,,,,,
Belize,1999,6.57606313020605,,,,,,,,,
Belize,1998,6.48838228846997,,,,,,,,,
